Specified Values,Specified Attribute Names,Country,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
"1.0, 0.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_5",1.0,0.22084980971262466,0.0,0.0,1.0,2,20.57471625290964,4814,1170,0.45454545454545453,0.0014448523102002897,24,115
"0.0, 1.0, 1.0, 0.0, 1.0, 1.0","A_1, R_0, R_1, R_2, R_3, R_7",0.0,0.009804094239614225,637.8494626955264,406.82758749552636,8.973213962663174e-10,1,20.694741193713256,4627,1178,0.5454545454545454,0.0007266405100120196,20,62
"0.0, 0.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_1, R_4, R_5",1.0,0.42726198408045474,1000.0,0.0,1.0,1,8.541388436729184,4667,1180,0.5454545454545454,0.00029990801971281026,40,58
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, R_1, R_3, R_4, R_6, R_7",0.0,0.009188387077934224,987.7039473176039,47.63169455781591,4.078681924048439e-05,1,11.282395163016073,4846,1185,0.5454545454545454,0.00039615114287593235,33,56
"0.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_2, R_1, R_2, R_5, R_7",0.0,0.0013065104054029194,509.62966734438396,434.70831431625385,6.441844937394506e-10,1,17.15178140234547,4950,1194,0.5454545454545454,0.000602238948975168,19,56
"0.0, 0.0, 0.0, 1.0, 0.0, 1.0","A_0, R_1, R_3, R_4, R_5, R_6",1.0,0.008915505088032403,515.2686637056,401.96545511424,9.529197821003645e-10,2,19.7560756764672,4969,1302,0.5454545454545454,0.0013873635597574114,17,58
"1.0, 0.0, 1.0, 0.0, 0.0","A_1, A_2, R_1, R_2, R_6",1.0,0.41811489363518456,0.0,0.0,1.0,5,20.973212167356902,4960,1311,0.45454545454545453,0.0036820913688227685,34,117
"1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0","A_1, R_0, R_2, R_3, R_4, R_6, R_7",0.0,0.022402715283085014,616.0,369.06666666666666,1.4604136652410797e-09,1,23.128,3035,1312,0.6363636363636364,0.0008120778877226701,7,27
"1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_2, R_0, R_1, R_2, R_5, R_6, R_7",0.0,0.041757735786693534,748.13696,316.915712,3.1281037179235583e-09,1,19.425984,4469,1319,0.6363636363636364,0.0006820914931535103,12,29
"1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0","A_0, A_1, R_0, R_1, R_3, R_4, R_7",1.0,0.003081128636672235,904.3361046528,176.19778972330667,5.888405626886128e-08,1,17.0022942687232,4443,1323,0.6363636363636364,0.0005969901079290902,17,29
"0.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_0, R_1, R_2, R_3, R_4, R_7",1.0,0.013101191353631934,263.9179965647282,377.2264919089264,1.3091489926366566e-09,1,14.039374348179184,4776,1341,0.5454545454545454,0.0004929550962304215,30,55
"0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, A_2, R_0, R_3, R_5, R_6",0.0,0.004480999869604344,759.061352448,362.0017100117334,1.6085956494106111e-09,1,14.905478631424,4342,1355,0.6363636363636364,0.0005233660326228899,16,29
"1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, R_1, R_2, R_3, R_4, R_5",1.0,0.0032228478020302764,720.4713308160001,354.0459279701333,1.7976369290138942e-09,2,25.67157504,3984,1368,0.6363636363636364,0.00180277745010353,16,29
"1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0","A_0, A_1, A_2, R_1, R_4, R_5, R_7",1.0,0.10153084704123555,1000.0,0.0,1.0,1,20.97362239851636,4773,1390,0.6363636363636364,0.0007364326779349726,23,29
"1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0","A_0, A_1, A_2, R_0, R_1, R_3, R_4",0.0,0.2609319426379091,1000.0,0.0,1.0,2,18.779811660166857,4790,1395,0.6363636363636364,0.001318805757939975,22,29
"1.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_1, A_2, R_0, R_3, R_5, R_7",0.0,0.0668557861154528,1000.0,0.0,1.0,1,21.57986002124111,3287,1396,0.5454545454545454,0.0007577190912919568,39,53
"0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0","A_0, A_2, R_0, R_3, R_4, R_6, R_7",1.0,0.16437822387504453,209.92,291.4986666666666,4.751351245048712e-09,2,17.05248,4599,1423,0.6363636363636364,0.0011975044914245138,9,28
"0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0","A_0, A_2, R_1, R_3, R_5, R_6, R_7",0.0,0.15564859808872908,1000.0,0.0,1.0,1,12.84085637236654,4172,1433,0.6363636363636364,0.0004508723417252511,20,27
"0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0","A_0, A_1, R_2, R_3, R_4, R_5, R_6, R_7",0.0,0.08653768364092217,0.0,0.0,1.0,1,37.160000000000004,4988,1444,0.7272727272727273,0.0013047740534319623,6,12
"0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0","A_0, A_2, R_0, R_1, R_2, R_3, R_7",0.0,0.002199251114873464,745.242284032,338.7064309077333,2.243276399504831e-09,1,15.17731067904,4879,1447,0.6363636363636364,0.0005329106882370082,16,28
"1.0, 1.0, 1.0, 0.0, 0.0","A_0, A_1, A_2, R_0, R_7",1.0,0.09725107010361186,0.0,0.0,1.0,1,22.332524977153376,4970,1448,0.45454545454545453,0.0007841469089830719,22,109
"0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0","A_0, A_1, R_0, R_1, R_2, R_3, R_5",1.0,0.2972866813088487,1000.0,0.0,1.0,1,12.70565021691166,4710,1453,0.6363636363636364,0.00044612493904759196,23,30
