A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Inverse Variance,g_k,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
0.0,1.0,0.0,0.0,#,#,#,#,#,0.0,0.0,1.0,0.0028514740565452764,0.0013125,0.0,674.19392,381.3369173333333,1.2400972448129657e-09,1,24.57913088,2782,1430,0.5454545454545454,0.000289561415565586,12,22
#,#,#,0.0,0.0,1.0,0.0,#,0.0,1.0,1.0,0.0,0.0694456360327453,0.0006544502617801048,0.0,680.0,314.6666666666667,3.2415020612793396e-09,1,30.639999999999997,2384,1432,0.6363636363636364,0.00036096320151616173,6,11
#,1.0,#,#,#,1.0,0.0,#,#,#,0.0,0.0,0.0007770483727661355,0.00240004438450188,0.05307127153028585,976.5906732350525,81.93889874513809,2.7073810587857317e-06,1,18.37252590799563,2996,1439,0.36363636363636365,0.014679960008838809,53,106
#,0.0,0.0,0.0,0.0,#,#,#,0.0,#,#,1.0,0.0061797536820276545,0.0019250915065610193,0.0,360.34871295999994,412.71221725866667,8.351478625603562e-10,1,22.265351331839998,2982,1440,0.45454545454545453,0.00026230328001380877,15,53
0.0,#,#,0.0,1.0,0.0,#,#,#,#,1.0,0.0,0.12310465915370675,0.0020353728824052757,0.03736027752454925,872.5340802981036,219.539838926827,1.9607999800518982e-08,4,17.927972053334003,2995,1447,0.45454545454545453,0.000808631322241488,25,47
1.0,#,0.0,#,#,0.0,#,0.0,#,#,1.0,1.0,0.011876892318265327,0.0019308863883553025,0.0,357.76667648,392.15262924800004,1.0782621095671708e-09,1,19.29277952,2982,1448,0.45454545454545453,0.00022728405553801038,15,48
#,#,0.0,#,#,0.0,1.0,#,#,#,0.0,1.0,0.0006743616343000425,0.0017143966208924795,0.0,632.6745255112735,396.48921601487405,1.020570714786788e-09,1,15.073963819844664,2991,1455,0.36363636363636365,0.017029001689172655,31,94
#,#,0.0,#,1.0,1.0,#,#,1.0,0.0,0.0,1.0,0.008982665831181142,0.0013125,0.0,829.6064,292.72746666666666,4.6524597935460476e-09,1,21.439859199999997,2309,1460,0.5454545454545454,0.00025257833606030463,11,25
#,#,0.0,1.0,1.0,1.0,#,#,1.0,0.0,0.0,0.0,0.08887955122762184,0.0005952380952380953,0.0,600.0,346.66666666666663,1.997282869425226e-09,1,29.0,2677,1460,0.6363636363636364,0.00034164271683970925,5,11
0.0,#,0.0,0.0,0.0,#,0.0,#,#,#,1.0,0.0,0.005070317957558437,0.002203548697839953,0.0,904.3698688,213.96542805333334,2.2298824293921677e-08,1,20.2073453568,2888,1461,0.5454545454545454,0.0002380583575108771,14,22
0.0,#,#,0.0,1.0,0.0,1.0,#,#,#,#,0.0,0.007116844280628012,0.0016562500000000002,0.0,887.5258832384164,237.35063162685577,1.3275413005141964e-08,1,17.733985326181124,2995,1464,0.45454545454545453,0.00019930118605626196,22,43
1.0,#,0.0,0.0,#,#,0.0,1.0,#,#,1.0,0.0,0.01551009965869551,0.0012326258452291514,0.0,564.8,392.53333333333336,1.0730434023774324e-09,1,26.1088,2682,1465,0.5454545454545454,0.0003075821160491241,8,22
0.0,1.0,0.0,#,#,1.0,1.0,1.0,0.0,#,0.0,1.0,0.1097631124619004,inf,0.14285714285714285,1000.0,0.0,1.0,1,28.25,1468,1468,0.7272727272727273,0.000332807129335234,4,4
#,#,#,1.0,1.0,#,0.0,1.0,#,1.0,1.0,0.0,0.015710184558535824,0.001736111111111111,0.0,256.0,317.8666666666667,3.0815914580817986e-09,1,34.336,2926,1477,0.5454545454545454,0.00040450497673821573,7,23
1.0,1.0,1.0,#,#,#,0.0,#,#,#,1.0,0.0,0.42589418032846743,inf,0.3333333333333333,0.0,0.0,1.0,1,17.348128579584,2954,1477,0.45454545454545453,0.00020437454413840288,16,50
1.0,0.0,#,0.0,0.0,1.0,1.0,#,#,1.0,#,1.0,0.03931052680485828,0.0006249999999999999,0.011057886140905249,636.1600000000001,336.12800000000004,2.3306472295385944e-09,1,33.5392,2860,1495,0.6363636363636364,0.00039511804857346125,9,12
#,0.0,#,#,#,#,1.0,#,1.0,0.0,0.0,0.0,0.010728589632496207,0.0016964318112070759,0.0,452.6278498886615,432.34204510689693,6.620070846097168e-10,1,22.06539650487158,2983,1499,0.45454545454545453,0.00025994765551964655,24,46
#,#,1.0,0.0,1.0,#,#,0.0,#,0.0,#,0.0,0.001633656832615957,0.0016641671511528101,0.0,490.48514910617604,438.46641070025385,6.170471541051861e-10,1,16.40570159526707,2996,1499,0.45454545454545453,0.00019152169083679237,19,45
#,1.0,#,0.0,#,#,0.0,0.0,0.0,#,#,0.0,0.0038638743258522946,0.002038010854747356,0.0,874.6406490996653,214.44841939811778,2.204884030651685e-08,1,20.89173612353962,2757,1512,0.45454545454545453,0.004119135836631505,25,43
#,#,#,0.0,#,#,0.0,0.0,1.0,1.0,#,1.0,0.0020168772174294185,0.0016117786356438797,0.0,610.3659357995008,420.8150686396143,7.577807808326104e-10,1,20.86268257934377,2893,1514,0.45454545454545453,0.0002453743166484784,20,43
0.0,1.0,0.0,1.0,#,0.0,#,#,#,#,1.0,1.0,0.16744943491953956,inf,0.3333333333333333,0.0,0.0,1.0,1,28.776,2984,1515,0.5454545454545454,0.00033900382137170594,7,23
#,1.0,#,#,0.0,1.0,1.0,#,#,#,1.0,0.0,0.06767488028032027,0.002251073719691203,0.0,323.84000000000003,353.87733333333335,1.8019231722108604e-09,1,28.61504,2980,1522,0.45454545454545453,0.00033710758648541217,9,41
1.0,#,1.0,1.0,0.0,#,1.0,#,1.0,1.0,0.0,1.0,0.07351531454640288,-0.00075,-0.015091352444651304,500.0,333.3333333333333,2.4300000000000017e-09,1,30.25,2403,1528,0.7272727272727273,0.00035636869601383465,4,4
#,0.0,0.0,1.0,0.0,#,0.0,#,1.0,#,0.0,0.0,0.18714956211139971,0.0008928571428571428,0.0,200.0,190.0,4.038610734061926e-08,2,19.0,2382,1555,0.6363636363636364,0.0004476697668934121,5,12
#,#,#,1.0,0.0,#,0.0,1.0,#,0.0,#,1.0,0.009941326725901568,0.0015845584800750075,0.0,680.9753841880267,307.5943259481047,3.6316869056380276e-09,2,23.739326766908704,2984,1555,0.45454545454545453,0.0072767694768785165,21,49
#,0.0,#,#,#,1.0,1.0,0.0,#,#,1.0,1.0,0.002025053920374612,0.0017449686323862664,0.0,398.314925850624,431.30916604914347,6.699718590274754e-10,1,25.39617261538509,2897,1563,0.45454545454545453,0.00029918680722932365,19,44
#,#,0.0,1.0,0.0,#,#,1.0,1.0,1.0,#,0.0,0.012669443273005572,0.0015311479234717692,0.0,404.8,373.33333333333337,1.3788472593961962e-09,1,27.96,2607,1570,0.5454545454545454,0.0003293907021668369,8,24
#,0.0,#,#,1.0,1.0,#,#,0.0,0.0,#,1.0,0.0005670673998858741,0.00165625,0.0,708.506318869494,374.71794119986436,1.3535601617853839e-09,1,20.386607352882567,2911,1572,0.45454545454545453,0.020671061722191894,26,50
0.0,0.0,#,0.0,#,#,0.0,0.0,#,0.0,0.0,0.0,0.02763020894391423,0.0009952229299363057,0.0,872.0,194.13333333333335,3.626598203451447e-08,1,30.792,1725,1573,0.6363636363636364,0.00036275388058373543,7,11
#,1.0,1.0,#,#,#,1.0,#,1.0,#,#,0.0,0.006120515483898678,0.0022192012592643084,0.0,323.77611871311063,407.746892472202,8.872514150010575e-10,1,22.797160115241905,2934,1593,0.36363636363636365,0.0028375748290077802,30,84
1.0,#,#,#,0.0,0.0,#,#,1.0,#,0.0,1.0,0.026683105736880285,0.00165625,0.0,550.7586326528001,376.97580695552,1.3135076373596705e-09,1,23.109017545932797,2986,1593,0.45454545454545453,0.00027224232889272383,17,40
1.0,1.0,0.0,0.0,#,#,#,#,#,1.0,#,0.0,0.30599611078720895,inf,0.125,0.0,0.0,1.0,2,22.9379072,2859,1601,0.45454545454545453,0.0005404530299603536,12,41
1.0,1.0,0.0,0.0,#,1.0,#,#,#,1.0,#,0.0,0.1318135625954688,inf,0.125,0.0,0.0,1.0,1,26.0,2544,1605,0.5454545454545454,0.00030630036682180824,5,21
1.0,1.0,0.0,0.0,#,#,#,0.0,#,1.0,#,0.0,0.14211908754169827,inf,0.125,0.0,0.0,1.0,1,21.2,2859,1605,0.5454545454545454,0.0002497526067931667,5,23
#,#,0.0,#,0.0,#,#,1.0,0.0,1.0,#,1.0,0.03642449472358275,0.0031437226740886914,0.0,973.1564544,69.79321855999994,6.038566692395808e-06,2,26.71826070398933,2957,1609,0.45454545454545453,0.0006295240811132797,27,40
#,#,#,#,1.0,1.0,1.0,1.0,0.0,#,#,0.0,0.017669590742997544,0.002261951639233521,0.0,142.9622226944,260.71558782976,8.301661305815968e-09,1,24.7109715607552,2884,1613,0.45454545454545453,0.00029111460206086886,17,46
#,#,1.0,0.0,0.0,#,#,1.0,1.0,#,#,0.0,0.006977919832878181,0.00165625,0.0,854.5651148888473,255.27855558356714,9.224191925878491e-09,1,17.553180290904226,2577,1616,0.45454545454545453,0.00020679021392281923,21,45
#,#,0.0,1.0,0.0,#,0.0,1.0,#,#,0.0,0.0,0.00878825941473024,0.0010399730860131528,0.0,762.0518912,353.76158037333335,1.804873103649004e-09,2,22.0753660928,2770,1618,0.5454545454545454,0.0005201302101500268,14,27
#,0.0,0.0,1.0,#,#,#,#,1.0,1.0,#,0.0,0.01916377381742968,0.0017995293440819372,0.0,420.37954560000003,365.51696383999996,1.5327181915115024e-09,2,26.1474814976,2940,1618,0.45454545454545453,0.0006160756287831788,15,43
0.0,#,#,#,1.0,1.0,#,#,1.0,0.0,0.0,1.0,0.0573237444263524,0.0023208071634696994,0.0,934.464,127.79519999999998,2.9337782873192266e-07,1,24.043200000000002,2701,1637,0.5454545454545454,0.0002832477299834654,10,20
#,1.0,0.0,0.0,#,1.0,#,#,1.0,#,#,0.0,0.02038980573623117,0.0021549858595975714,0.0,268.566528,354.2089728,1.7935034128377785e-09,1,20.670284799999997,2933,1637,0.45454545454545453,0.00024351214679043257,13,35
0.0,#,#,1.0,1.0,#,0.0,0.0,#,#,#,0.0,0.0063330506297701716,0.001515870399679405,0.0,685.2131954688,369.93825308672,1.4432906326091797e-09,2,28.890033153638402,2952,1639,0.45454545454545453,0.0006806944424964343,17,41
1.0,#,1.0,#,0.0,0.0,0.0,#,1.0,#,0.0,1.0,0.05207866293054806,0.000625,0.0,500.0,250.0,1.0240000000000001e-08,1,25.5,2277,1646,0.6363636363636364,0.0003004099751521581,2,8
1.0,#,#,0.0,0.0,0.0,#,#,1.0,0.0,0.0,0.0,0.14051073567474623,0.0008333333333333334,0.016336266731502666,1000.0,0.0,1.0,1,29.119999999999997,2827,1646,0.6363636363636364,0.0003430564108404252,6,8
1.0,0.0,0.0,0.0,#,1.0,0.0,1.0,#,#,#,1.0,0.49158263226447335,inf,0.3333333333333333,1000.0,0.0,1.0,1,18.56,2385,1649,0.6363636363636364,0.00021865133877741388,6,13
#,1.0,1.0,#,#,#,0.0,0.0,#,#,#,0.0,0.20236156970271227,0.003649170578889099,0.0,999.0299958637377,6.259103354792277,1.0,2,20.47587815747707,2996,1652,0.36363636363636365,0.0005029180522538202,46,84
#,1.0,1.0,#,#,0.0,0.0,#,#,#,0.0,0.0,0.44579579119657436,inf,0.16666666666666666,1000.0,0.0,1.0,2,17.975456066686416,2989,1652,0.45454545454545453,0.0004235299066934883,28,39
0.0,#,#,0.0,1.0,0.0,1.0,#,1.0,#,#,0.0,0.017020033823831056,0.0013125,0.0,832.0640000000001,266.7861333333333,7.399182458558182e-09,1,22.398016000000002,2995,1655,0.5454545454545454,0.00026798360462640077,10,17
#,1.0,1.0,0.0,#,1.0,0.0,#,#,1.0,1.0,0.0,0.028265543071560654,0.000625,0.0,480.0,373.3333333333333,1.3788472593961975e-09,1,18.16,2954,1662,0.6363636363636364,0.00021393902544169377,6,11
1.0,1.0,#,#,#,#,0.0,#,0.0,#,1.0,0.0,0.0026935738986520585,0.0015533876630230885,0.0,566.2180725555199,419.5242202453333,7.695109527579225e-10,1,24.998813552967682,2954,1662,0.45454545454545453,0.00029450560620707664,18,41
#,0.0,#,0.0,#,#,#,0.0,#,0.0,0.0,0.0,0.017404839102019867,0.002092391970691687,0.0,708.4418105215296,310.4636766190416,3.466937549960651e-09,1,20.71868854272065,2983,1665,0.45454545454545453,0.0002440823807962358,29,38
#,1.0,1.0,#,0.0,0.0,0.0,#,#,#,0.0,1.0,0.14390338224631288,inf,0.16666666666666666,0.0,0.0,1.0,1,23.75,2960,1668,0.5454545454545454,0.00027979360430838255,4,18
0.0,0.0,0.0,#,#,1.0,1.0,#,#,1.0,0.0,1.0,0.07017540033360219,0.000625,0.0,520.0,365.3333333333333,1.536574079731086e-09,1,26.84,2762,1683,0.6363636363636364,0.00031619622482682055,6,9
1.0,#,#,1.0,0.0,#,1.0,#,0.0,#,#,0.0,0.043524707152840396,0.0020169662910471935,0.0,857.6820224,246.49924607999998,1.0988085330877535e-08,3,25.859953009581098,2838,1692,0.45454545454545453,0.0009139515107110865,22,40
#,#,1.0,1.0,#,1.0,#,#,0.0,#,0.0,0.0,0.024418831584584334,0.0022778711636889807,0.0,772.8956639857868,231.33668091398278,1.509306695309972e-08,1,19.65005257241133,2921,1692,0.45454545454545453,0.00023149301196143874,21,35
1.0,#,1.0,#,0.0,1.0,0.0,#,#,1.0,0.0,1.0,0.11777282728834576,0.00125,0.0,0.0,0.0,1.0,1,19.0,1693,1693,0.6363636363636364,0.00022383488344670605,1,10
1.0,1.0,0.0,#,1.0,1.0,#,1.0,#,#,#,0.0,0.011055165837387908,0.0013125,0.0,652.5440000000001,355.51573333333334,1.7607831523884548e-09,1,24.129536,2926,1703,0.5454545454545454,0.00028426483569384724,10,19
1.0,#,0.0,#,0.0,0.0,0.0,#,1.0,1.0,0.0,1.0,0.30361347706785363,-0.0015,-0.0,1000.0,0.0,1.0,1,30.333333333333332,1704,1704,0.7272727272727273,0.0003573504279587763,3,6
0.0,0.0,#,0.0,#,#,0.0,0.0,#,#,0.0,0.0,0.011244873498183384,0.002069050970065681,0.0,865.6512,240.29866666666663,1.2480822152634003e-08,1,24.3961728,2256,1725,0.5454545454545454,0.00028740602606493155,11,16
1.0,1.0,1.0,#,#,1.0,0.0,#,#,#,1.0,0.0,0.17093729326485566,inf,0.25,0.0,0.0,1.0,1,18.2,2954,1740,0.5454545454545454,0.0002144102567752658,5,20
#,0.0,1.0,1.0,0.0,#,0.0,#,#,#,0.0,0.0,0.044239370865343054,0.0021325012571765125,0.0,884.525568,203.21402879999997,2.8855697067402716e-08,2,24.981747712,2635,1743,0.5454545454545454,0.0005886091144642669,13,17
#,1.0,1.0,#,#,#,1.0,0.0,1.0,#,#,0.0,0.05301956862942812,0.0018866989574599937,0.0,377.856,370.688,1.4287536870088261e-09,2,22.734208000000002,2861,1751,0.45454545454545453,0.0005356535576771761,10,34
#,1.0,0.0,0.0,#,0.0,#,0.0,#,#,#,1.0,0.004469754220193264,0.001487141329794999,0.0,613.71392,378.44241066666666,1.2882525141067534e-09,1,23.358586879999997,2880,1753,0.45454545454545453,0.00027518245114550296,12,38
0.0,#,1.0,#,0.0,1.0,#,#,1.0,1.0,#,0.0,0.25869148447575696,0.0019886363636363634,0.0,840.0,160.0,9.5367431640625e-08,1,18.757184000000002,2959,1765,0.5454545454545454,0.0002209743207593905,10,19
#,1.0,1.0,#,#,#,1.0,#,1.0,#,1.0,0.0,0.3178833821349851,inf,0.3333333333333333,0.0,0.0,1.0,2,25.24512,2934,1778,0.45454545454545453,0.0005948145781892745,9,39
1.0,#,1.0,#,0.0,0.0,#,#,1.0,0.0,0.0,1.0,0.18702584537349387,0.000625,0.0,0.0,0.0,1.0,2,26.666666666666668,2986,1785,0.6363636363636364,0.0006283084447626837,3,6
#,0.0,0.0,1.0,#,#,0.0,#,1.0,#,0.0,0.0,0.025966057415240877,0.0014583333333333334,0.0,400.0,346.66666666666663,1.997282869425226e-09,1,24.6,2677,1793,0.5454545454545454,0.00028980727014678786,5,16
0.0,#,#,#,0.0,0.0,0.0,1.0,0.0,#,#,1.0,0.12007375209865359,0.00525,0.0,0.0,0.0,1.0,1,29.0,2984,1798,0.5454545454545454,0.00034164271683970925,3,18
0.0,#,#,0.0,0.0,0.0,#,1.0,#,0.0,0.0,1.0,0.17254994378911714,0.0025,0.059913423881503974,0.0,0.0,1.0,2,22.0,2745,1798,0.6363636363636364,0.000518354466929214,3,9
0.0,#,1.0,1.0,#,1.0,#,#,#,#,0.0,0.0,0.004314419466392648,0.00165625,0.02878272376421964,612.505960448,397.4051386709333,1.0088639593907666e-09,1,24.60474386432,2921,1803,0.45454545454545453,0.0002898631565845328,16,32
#,0.0,#,#,0.0,#,1.0,#,1.0,#,1.0,1.0,0.008535879139412245,0.00165625,0.0,755.9474900172801,328.1594228845226,2.627698926998957e-09,1,28.78229358739456,2870,1808,0.45454545454545453,0.00033907796476122823,18,35
0.0,0.0,#,0.0,0.0,0.0,#,1.0,0.0,0.0,#,1.0,0.10174443276847807,inf,1.0,0.0,0.0,1.0,1,30.5,2848,1812,0.7272727272727273,0.0003593138918486597,2,6
#,#,1.0,1.0,0.0,#,0.0,1.0,#,0.0,#,1.0,0.02650875217712942,0.00105,0.0,750.0,270.8333333333333,6.862611684033906e-09,1,33.0,2553,1814,0.5454545454545454,0.0003887658501969105,4,17
0.0,1.0,0.0,#,#,#,1.0,0.0,#,#,#,0.0,0.07504918567489223,0.00165625,0.0,731.2364544000001,306.62238208,3.689612302613147e-09,2,22.57185234944,2902,1815,0.45454545454545453,0.000531828204190859,15,33
0.0,1.0,#,#,1.0,0.0,#,0.0,#,#,#,1.0,0.01393841487098321,0.0018521314188584708,0.0,394.24,380.24533333333335,1.2579996961454419e-09,1,22.64384,2991,1816,0.45454545454545453,0.0002667621730097821,9,29
#,0.0,1.0,1.0,#,#,#,#,1.0,#,0.0,0.0,0.04066778644649154,0.002184381916249701,0.0,258.22363648,338.938298368,2.23561377135196e-09,2,21.504351674368,2928,1818,0.45454545454545453,0.0005066762158556988,17,37
#,1.0,#,#,0.0,#,0.0,0.0,1.0,#,#,1.0,0.0012564475455026374,0.0014422819395981795,0.03330677749285616,796.7076748689408,333.11723143648595,2.4378922572896384e-09,1,19.88607766220636,2840,1826,0.45454545454545453,0.00023099285297736448,20,44
1.0,#,#,#,1.0,#,#,#,#,0.0,0.0,1.0,0.0020829877236721553,0.002046170269995588,0.0,393.4373775276975,421.03768583622536,7.557795735388865e-10,1,16.39187979685604,2968,1827,0.36363636363636365,0.005995102666135831,28,71
#,1.0,#,1.0,#,1.0,#,#,#,1.0,1.0,1.0,0.22955756115420303,0.006625,0.0,1000.0,0.0,1.0,2,23.58589127810304,2990,1830,0.45454545454545453,0.00055572055002325,25,38
1.0,0.0,#,#,0.0,#,1.0,1.0,#,#,#,1.0,0.010531516510762343,0.0025135684720346387,0.0,841.0762354688001,233.31459301375997,1.4464068961627144e-08,1,21.061173633024,2860,1841,0.45454545454545453,0.0002481171234420403,17,28
0.0,1.0,0.0,#,#,#,#,1.0,#,#,#,0.0,0.0037246514785159984,0.0018281249999999992,0.0,537.3989788092974,438.7164955677676,6.152904578346002e-10,1,17.59931277207576,2995,1848,0.36363636363636365,0.0027406367195717536,36,71
#,1.0,0.0,#,#,0.0,#,1.0,#,#,#,0.0,0.09809414533658992,0.003418108802978794,0.0,965.1647722837744,104.21820809595962,8.133584657344787e-07,1,17.552823557649077,2995,1848,0.36363636363636365,0.0001966334016257113,45,66
1.0,0.0,0.0,0.0,#,1.0,0.0,#,#,#,#,1.0,0.009157076934850007,0.0013125,0.0,573.76,404.3946666666667,9.246404820618765e-10,1,22.55872,2778,1854,0.5454545454545454,0.0002657593927319409,9,20
1.0,1.0,0.0,#,#,0.0,#,1.0,#,#,0.0,1.0,0.05578553360740539,0.0013125,0.0,666.6666666666666,277.77777777777777,6.0466176e-09,1,22.0,2904,1855,0.5454545454545454,0.000259177233464607,3,14
#,#,1.0,#,0.0,#,1.0,0.0,1.0,#,#,0.0,0.035090301317760864,0.001806415436570011,0.0,333.74208,380.60032,1.252143935748738e-09,1,20.913364480000002,2878,1858,0.45454545454545453,0.00024637581583469907,12,35
#,0.0,0.0,#,#,#,#,0.0,#,1.0,0.0,1.0,0.005519069882226012,0.0015147579268105728,0.0,593.4090330112,420.68649443327996,7.589394897236861e-10,1,26.772406523494404,2862,1859,0.45454545454545453,0.00031539992072495803,17,38
0.0,0.0,0.0,#,#,1.0,1.0,#,#,#,0.0,1.0,0.06807170846746234,0.0013125,0.0,722.0352,314.66495999999995,3.2415899678503266e-09,1,25.540462080000005,2762,1859,0.5454545454545454,0.0003008866501500956,12,17
1.0,0.0,#,0.0,#,#,#,#,0.0,#,1.0,0.0,0.0049414337496331215,0.00306097265646406,0.0,958.9138205784408,119.95956540921789,4.025553301163584e-07,1,22.94637914852646,2987,1863,0.45454545454545453,0.003537657324646197,23,40
#,1.0,1.0,#,#,0.0,1.0,#,1.0,#,#,0.0,0.010249410375601523,0.002201542016520769,0.0,252.3136,355.64202666666665,1.757658981507449e-09,1,23.2198528,2934,1864,0.45454545454545453,0.00027354805500724586,11,35
#,1.0,1.0,#,#,#,1.0,#,1.0,1.0,#,0.0,0.03687148364204645,0.001903910704432592,0.0,369.91999999999996,367.53066666666666,1.4911869290275998e-09,1,23.5888,2934,1864,0.45454545454545453,0.0002778945420340873,9,37
1.0,#,1.0,1.0,1.0,#,#,1.0,#,#,#,0.0,0.006512163815771099,0.0016562499999999997,0.03662402830532615,305.91267163340797,396.69914815255896,1.0178731547959246e-09,1,19.33112162644787,2934,1869,0.45454545454545453,0.00022773575558684514,19,36
#,0.0,0.0,1.0,1.0,1.0,#,0.0,#,#,0.0,1.0,0.020644746357526843,0.000625,0.0,680.0,314.6666666666667,3.2415020612793396e-09,1,29.84,2328,1874,0.6363636363636364,0.0003515385748447215,6,8
#,#,1.0,#,0.0,#,0.0,1.0,#,0.0,1.0,1.0,0.04558899770171403,0.0012595969289827256,0.0,584.0,360.53333333333336,1.641620930246691e-09,1,29.375999999999998,2994,1879,0.5454545454545454,0.0003460722913752861,7,16
#,1.0,#,1.0,#,0.0,0.0,#,#,0.0,1.0,0.0,0.02519064251926657,0.0018436938674232816,0.0,788.11392,303.1968426666666,3.9028029776171034e-09,1,19.54931456,2760,1881,0.5454545454545454,0.00023030623926318912,12,21
#,#,1.0,#,#,0.0,0.0,0.0,1.0,#,#,0.0,0.002850038013695248,0.00165625,0.05013005576850959,566.6227171950593,420.69778739931814,7.58837632547122e-10,1,19.36870672863068,2989,1881,0.45454545454545453,0.005177314474274631,20,38
1.0,#,#,#,#,#,#,#,1.0,1.0,0.0,0.0,0.005815916744916513,0.0015957272837546406,0.035285712427357695,791.2749798932349,343.58964296781664,2.0883326535191605e-09,2,20.479276174429913,2898,1898,0.36363636363636365,0.010730278341102387,23,60
#,0.0,1.0,0.0,0.0,#,#,#,1.0,#,#,0.0,0.002450411451032031,0.00165625,0.053996075865767004,672.2241681888379,376.157996446157,1.3278484382340079e-09,1,17.872290675441796,2722,1898,0.45454545454545453,0.005556429141884325,22,38
#,0.0,#,0.0,#,#,#,0.0,0.0,#,1.0,0.0,0.3671613797943117,0.006625,0.0,1000.0,0.0,1.0,1,20.85723256974213,2987,1904,0.45454545454545453,0.00024571453796153004,20,31
#,#,0.0,#,1.0,0.0,1.0,0.0,1.0,#,#,0.0,0.01873903736072233,0.0021560095204228996,0.0,891.2364544000001,194.15433215999994,3.624637447927501e-08,1,22.4421574656,2972,1905,0.5454545454545454,0.00026438619476869474,14,19
#,1.0,1.0,#,#,1.0,0.0,#,0.0,#,1.0,1.0,0.11020437451282708,0.0013125,0.0,836.1600000000001,241.664,1.2132217903372785e-08,1,29.19424,2994,1919,0.5454545454545454,0.00034393101619553494,9,19
#,0.0,#,#,0.0,#,1.0,#,1.0,#,#,0.0,0.012094478137606068,0.001828125,0.0,778.834963130103,228.07705125329954,1.6202873922608577e-08,1,22.22571306195318,2878,1921,0.36363636363636365,0.0002618363101443275,28,63
1.0,1.0,0.0,#,#,#,#,#,#,1.0,#,0.0,0.3103164543873692,inf,0.16666666666666666,0.0,0.0,1.0,2,23.1477513027584,2926,1922,0.36363636363636365,0.0005453972857796068,17,64
1.0,1.0,#,#,0.0,#,1.0,#,#,0.0,#,1.0,0.014267645625884996,0.002326738500819095,0.0,211.83332352000002,326.0917568853333,2.7120700134478257e-09,1,26.47091146752,2986,1927,0.45454545454545453,0.00031184807279265335,15,33
#,1.0,0.0,#,#,0.0,0.0,0.0,#,#,#,1.0,0.016827138665885633,0.0018601190476190475,0.0,390.4,323.84,2.8076795958954374e-09,1,26.0016,2800,1928,0.45454545454545453,0.00030631921607515114,8,34
0.0,1.0,#,#,0.0,0.0,#,0.0,1.0,#,#,1.0,0.06119898128636915,0.0013637780548628432,0.0,462.4,317.44,3.102356823994275e-09,1,24.44,2929,1928,0.5454545454545454,0.0002879223448124998,8,21
#,1.0,1.0,1.0,#,#,#,#,#,#,1.0,1.0,0.014083043511750527,0.00342432770178467,0.0,966.1360829901787,82.44944386089232,2.6245892585485373e-06,1,18.86589723472734,2990,1933,0.36363636363636365,0.00022225504782382778,39,71
1.0,0.0,#,#,#,#,#,0.0,0.0,#,1.0,0.0,0.2913110315787785,inf,0.3333333333333333,1000.0,0.0,1.0,2,21.070722363880897,2987,1934,0.45454545454545453,0.0004964592299428614,21,34
1.0,#,1.0,#,#,#,1.0,#,1.0,#,#,0.0,0.004182607989664748,0.0025035754706471897,0.0,230.20566842645152,358.0756360194044,1.6987369757771829e-09,1,21.17611178846615,2934,1938,0.36363636363636365,0.0038570354698510205,24,70
0.0,0.0,#,#,1.0,#,#,#,0.0,#,#,0.0,0.0056950826080748515,0.0019544295046770043,0.0,435.3752568845513,412.08213599024054,8.415522006004851e-10,1,24.086803196648148,2964,1944,0.36363636363636365,0.0032220606477399217,24,67
#,#,0.0,#,0.0,1.0,#,1.0,0.0,1.0,#,1.0,0.057654076108903426,0.0032519821605550073,0.0,897.6,143.35999999999999,1.6514295005431624e-07,1,30.239866367999998,2768,1946,0.5454545454545454,0.0003562493138908024,13,18
#,#,1.0,1.0,#,0.0,1.0,0.0,#,#,#,1.0,0.010133543342589426,0.0016602565274144846,0.0,504.82639561818115,416.21876794248396,8.005559752543592e-10,1,18.78496743234208,2986,1949,0.45454545454545453,0.00022130163135623463,21,31
#,1.0,1.0,#,1.0,1.0,1.0,#,#,#,1.0,0.0,0.3380624010025055,inf,0.1,0.0,0.0,1.0,2,21.824,2901,1952,0.5454545454545454,0.0005142076311937803,7,17
0.0,#,1.0,1.0,1.0,#,1.0,#,1.0,#,#,0.0,0.17734801349366136,inf,0.3333333333333333,0.0,0.0,1.0,1,29.44,2944,1952,0.5454545454545454,0.00034682626150900136,6,15
#,0.0,0.0,1.0,0.0,0.0,1.0,1.0,#,0.0,#,1.0,0.04950088678534346,inf,0.2,1000.0,0.0,1.0,1,30.0,1959,1959,0.7272727272727273,0.00035342350017900955,0,1
1.0,#,#,1.0,1.0,#,0.0,#,#,#,1.0,0.0,0.008089003742430588,0.0016638296792345715,0.0,490.888876032,427.4718670848,7.005873795251229e-10,1,19.763992719359997,2926,1961,0.45454545454545453,0.00023283531614628905,16,40
1.0,1.0,#,#,#,1.0,0.0,#,0.0,#,1.0,0.0,0.01893464096302999,0.0012107933579335794,0.0,584.0,375.46666666666664,1.340118074318883e-09,1,22.68,2954,1961,0.5454545454545454,0.0002671881661353312,7,18
