A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Inverse Variance,g_k,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
#,1.0,#,#,1.0,#,1.0,1.0,0.0,#,1.0,0.0,0.0045731812557827595,0.002140379909183415,0.0,113.208895471616,245.9412806150827,1.1113295175796199e-08,1,25.090725208064,2923,83,0.5454545454545454,0.0002955883975021229,19,42
#,0.0,0.0,1.0,1.0,1.0,0.0,#,#,0.0,1.0,1.0,0.1219393295549852,-0.0011942675159235668,-0.0,872.0,153.6,1.169617672033087e-07,1,17.90368,2761,84,0.7272727272727273,0.00019001932294957841,9,13
#,0.0,0.0,#,0.0,#,1.0,0.0,#,1.0,0.0,1.0,0.026780076961547057,0.0006512544097738592,0.0,459.68640000000005,407.45301333333333,8.904557241301929e-10,1,32.8241536,2461,88,0.6363636363636364,0.0003866942418575146,11,24
1.0,0.0,0.0,#,#,#,1.0,0.0,#,#,0.0,1.0,0.20339008999250097,inf,0.14285714285714285,0.0,0.0,1.0,2,33.88,2587,88,0.5454545454545454,0.0007982658790709897,9,49
#,#,0.0,1.0,#,1.0,#,1.0,0.0,1.0,#,0.0,0.22818835712547758,inf,0.16666666666666666,0.0,0.0,1.0,3,28.890915340288,2926,92,0.5454545454545454,0.0010210728422940026,16,48
1.0,#,1.0,0.0,#,#,1.0,1.0,#,0.0,#,0.0,0.04571900129210486,0.0013125,0.0,912.7584767999999,197.74745258666672,3.307086178401736e-08,2,19.5319868416,2146,98,0.5454545454545454,0.00046020421033390863,14,44
0.0,#,1.0,0.0,0.0,0.0,#,1.0,#,#,1.0,0.0,0.036684657510399656,0.0009569170922403586,0.0,846.860866977792,243.48653246218237,1.168490741758694e-08,1,17.50372267884544,2577,100,0.6363636363636364,0.00020620756451067548,19,25
0.0,#,1.0,#,1.0,1.0,0.0,#,1.0,#,1.0,1.0,0.03408428175605238,0.0006249999999999999,0.0,897.6589824,216.20239018666666,2.1168863642753934e-08,1,25.41716992,2728,106,0.6363636363636364,0.00029943417192570117,14,22
1.0,#,0.0,0.0,0.0,1.0,0.0,#,1.0,0.0,#,0.0,0.14463769809896437,-0.0011942675159235668,-0.0,872.0,153.6,1.169617672033087e-07,2,22.592000000000002,2686,117,0.7272727272727273,0.0005323029144029456,7,12
0.0,0.0,#,0.0,#,1.0,#,1.0,1.0,0.0,1.0,1.0,0.055273611456658656,-0.0006818181818181819,-0.03445885767794297,600.0,346.66666666666663,1.997282869425226e-09,1,21.4,1213,119,0.7272727272727273,0.0002521087634610268,5,12
#,#,#,0.0,0.0,#,#,0.0,0.0,0.0,0.0,0.0,0.4851361618929537,0.0023814562432827482,0.07767551572163678,799.2444213627408,164.08012464119943,8.408530690617721e-08,2,27.237082594059295,2812,128,0.5454545454545454,0.0006417483376704809,32,42
#,#,#,#,#,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.030768804538430335,0.0013125,0.0,603.6466907008205,378.06909425678197,1.2946253770228515e-09,1,21.591369328316908,2960,133,0.5454545454545454,0.0002543632440557157,21,46
