Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
66,0.6363636363636364,0,83,84,3,2,8.0,0,0,0,1,0,0.07500052452087402,0.004999637603759766,0.0,0.0,0.0,0.0
67,0.6176470588235294,0,84,85,5,4,27.25,0,0,0,1,0,0.07500052452087402,0.004999637603759766,0.0,0.0,0.0,0.0
68,0.6285714285714286,0,85,86,3,2,26.0,0,0,0,1,0,0.07500052452087402,0.004999637603759766,0.0,0.0,0.0,0.0
69,0.6285714285714286,0,86,87,5,4,27.5,0,0,0,1,0,0.07500052452087402,0.004999637603759766,0.0,0.0,0.0,0.0
70,0.6285714285714286,0,88,90,4,1,65.0,0,0,1,1,0,0.07500052452087402,0.004999637603759766,0.0,0.0,0.0,0.0
71,0.6285714285714286,0,89,91,5,4,23.5,0,0,0,1,0,0.07500052452087402,0.004999637603759766,0.0,0.0,0.0,0.0
72,0.6111111111111112,0,89,91,5,3,21.333333333333336,0,0,0,0,0,0.07600069046020508,0.00599980354309082,0.0,0.0,0.0,0.0
73,0.6111111111111112,0,91,94,5,1,38.0,0,0,1,1,0,0.07600069046020508,0.00599980354309082,0.0,0.0,0.0,0.0
74,0.6216216216216216,0,91,94,5,2,38.0,0,0,0,0,0,0.07600069046020508,0.00599980354309082,0.0,0.0,0.0,0.0
75,0.6216216216216216,0,93,96,5,2,41.0,0,1,1,0,0,0.07600069046020508,0.00599980354309082,0.0,0.0,0.0,0.0
76,0.6216216216216216,0,93,96,8,2,49.33333333333333,0,0,0,0,0,0.07600069046020508,0.00599980354309082,0.0,0.0,0.0,0.0
77,0.631578947368421,0,93,96,5,2,50.33333333333333,0,0,0,0,0,0.07700061798095703,0.00599980354309082,0.0,0.0,0.0,0.0
78,0.631578947368421,0,93,96,5,3,51.75,0,0,0,0,0,0.07700061798095703,0.00599980354309082,0.0,0.0,0.0,0.0
79,0.6153846153846154,0,94,97,3,2,36.0,0,0,0,1,0,0.07700061798095703,0.00599980354309082,0.0,0.0,0.0,0.0
80,0.6,0,94,97,5,2,54.0,0,0,0,0,0,0.07700061798095703,0.00599980354309082,0.0,0.0,0.0,0.0
81,0.5853658536585366,0,95,98,4,3,38.25,0,0,0,1,0,0.07700061798095703,0.00599980354309082,0.0,0.0,0.0,0.0
